configuration_id,TARGET_CLASS,criterion,Coverage,BranchCoverage,CBranchCoverage,Total_Branches,Covered_Branches,Covered_Branches_Real,Total_Goals,Covered_Goals;
COVERAGE,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
COVERAGE,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
COVERAGE,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
